datetime,score,addition_first_range,addition_second_range,multiplication_first_range,multiplication_first_range,duration
2025-02-01 13:38:49,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-01 13:39:22,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-01 13:43:26,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-02 22:11:12,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-02 22:11:47,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-02 22:12:21,9,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-02 22:12:53,9,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-02 22:13:27,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-02 22:14:00,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-25 12:11:41,17,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-25 12:38:28,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-25 12:39:12,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-25 12:46:17,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-25 12:46:49,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-25 17:48:38,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-26 13:25:00,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-26 13:26:08,9,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-27 15:28:06,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-27 15:28:38,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-02-27 15:29:11,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-06 14:42:53,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-06 14:43:26,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-14 08:24:35,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-15 08:09:02,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-15 08:09:50,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-18 12:30:45,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-18 12:31:31,12,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
